region,watershed,watershed_group_code,year,item,aggregated_crossings_id,stream_name,stream_name_02,stream_name_03,alias,project,published,name_source,notes
fraser,nechacko,FRAN,2024,199171_burnt_cabin_gala,199171,Burnt Cabin Creek,,,,,true,pscis,
fraser,nechacko,NECR,2024,199173_necr_trib_dog,199173,Tributary To Nechako River,,,,,true,pscis,
fraser,nechacko,NECR,2024,199174_necr_trib_dog_settlement,199174,Tributary To Nechako River,,,,,true,pscis,
fraser,nechacko,MORK,2024,199256_kenneth_hwy16,199256,Kenneth Creek,,,,,true,bcfishpass_gnis,
fraser,nechacko,LCHL,2024,chilako_mud1,,Chilako River,,,,,true,fwa_nearest_23m,
kootenay,elk,ELKR,2021,parker,,Parker Creek,,,,,true,fwa_nearest_98m,
kootenay,regent,,2025,20250616,,,,,,,false,,6-image test flight; excluded from catalog by decision 2026-07-29
kootenay,upper_arrow_lake,UARL,2024,arrow-whiskey-hadow,,Hadow Creek,,,,,true,fwa_nearest_97m,
mackenzie,carp,CRKD,2024,198692_kerry_lake_trib,198692,Tributary To Kerry Lake,,,,,true,pscis,
mackenzie,parsnip,PARS,2022,125000_parsnip_trib_arctic,125000,tributary to Parsnip River,,,,,true,pscis,
mackenzie,parsnip,PARS,2022,125179_missinka_trib,125179,Unnamed tributary to Missinka River,,,,,true,pscis,
mackenzie,parsnip,PARS,2023,125231_table_trib_tablefsr_21k,125231,Tributary to Table River,,,,,true,pscis,
mackenzie,parsnip,PARS,2023,125261_fern_tablefsr_2k,125261,Fern Creek,,,,,true,bcfishpass_gnis,
mackenzie,parsnip,PARS,2024,125231_table_trib_tablefsr_21k,125231,Tributary to Table River,,,,,true,pscis,
mackenzie,parsnip,PARS,2026,1996663_parsnip_trib_chco_11000,199663,Tributary to Parsnip River,,,moose,,true,guess_nearest_353m,dir name has an extra 6; id corrected from 1996663; working name 'moose'; verify in bcfishpass
mackenzie,peace_arm,PCEA,2026,16701333_carbon_trib_johnson_fsr,1016701333,Tributary to Carbon Creek,,,,,true,guess_nearest_709m,aggregated id computed from modelled id 16701333 (+1e9); verify in bcfishpass
mackenzie,peace_arm,PCEA,2026,16701523_table_ck_table_fsr,1016701523,Table Creek,,,,,true,fwa_nearest_52m,aggregated id computed from modelled id 16701523 (+1e9); verify in bcfishpass
mackenzie,pine,PINE,2026,6971_pine_oxbox_hwy97S,6971,Pine River,,,,,true,bcfishpass_gnis,
mackenzie,upper_peace,UPCE,2026,23502870_track_ck_johnson_fsr,1023502870,Track Creek,,,,,true,user,aggregated id computed from modelled id 23502870 (+1e9); verify in bcfishpass
skeena,babine,BABL,2022,198283_cross,198283,Cross Creek,,,,,true,fwa_nearest_86m,id not found in bcfishpass.crossings; name from spatial
skeena,bulkley,BULK,2020,195288_gibson_snider,195288,Gibson Creek,,,,,true,bcfishpass_gnis,
skeena,bulkley,BULK,2020,195290_gibson_hwy16,195290,Gibson Creek,,,,,true,bcfishpass_gnis,
